497,False,WINNER,WINNER
744,True,LOSER,LOSER
769,True,WINNER,LOSER
698,True,LOSER,LOSER
604,False,WINNER,LOSER
517,False,WINNER,WINNER
560,False,LOSER,LOSER
745,False,WINNER,WINNER
699,False,LOSER,LOSER
674,False,LOSER,LOSER
1,NEUTRAL
2,MOST YEARS
3,NO, 
4,YES, notion app
5,30
6,FEMALE
fai_1,DISAGREE
com_5,DISAGREE
com_3,DISAGREE
com_2,DISAGREE
fai_4,DISAGREE
fai_3,DISAGREE
com_1,DISAGREE
rel_5,DISAGREE
rel_1,DISAGREE
fai_2,DISAGREE
rel_2,DISAGREE
fai_5,DISAGREE
1681756003.8227286, 1681756156.3215034, 1681756423.7193818
