745,False,WINNER,WINNER
342,True,LOSER,LOSER
582,False,LOSER,LOSER
382,False,WINNER,WINNER
699,False,WINNER,WINNER
517,False,WINNER,WINNER
477,True,LOSER,LOSER
560,False,WINNER,WINNER
401,False,WINNER,WINNER
421,False,WINNER,WINNER
1,LIKELY
2,EVERY YEAR
3,YES, All winners
4,YES, Popular topic nowadays
5,21
6,FEMALE
fai_4,NEUTRAL
fai_5,NEUTRAL
rel_2,NEUTRAL
fai_1,NEUTRAL
fai_2,NEUTRAL
fai_3,NEUTRAL
com_1,NEUTRAL
com_5,NEUTRAL
rel_5,NEUTRAL
com_2,NEUTRAL
com_3,NEUTRAL
rel_1,NEUTRAL
1681757495.4317217, 1681757537.7405994, 1681757834.41811
