517,False,WINNER,WINNER
582,False,LOSER,WINNER
477,True,LOSER,LOSER
769,True,LOSER,LOSER
342,True,WINNER,WINNER
401,False,LOSER,LOSER
458,True,LOSER,LOSER
604,False,WINNER,WINNER
559,True,LOSER,LOSER
497,False,WINNER,LOSER
1,LIKELY
2,RARELY
3,NO, 
4,YES, University courses (introductory level)
5,29
6,FEMALE
com_5,DISAGREE
rel_2,DISAGREE
rel_5,DISAGREE
rel_1,DISAGREE
fai_5,DISAGREE
com_1,DISAGREE
fai_1,DISAGREE
fai_2,DISAGREE
com_2,DISAGREE
fai_4,DISAGREE
com_3,DISAGREE
fai_3,DISAGREE
1681897810.2619317, 1681897942.8624723, 1681898113.568184
