458,True,WINNER,LOSER
382,False,LOSER,LOSER
674,False,LOSER,LOSER
438,True,WINNER,WINNER
517,False,WINNER,LOSER
439,False,WINNER,WINNER
400,True,LOSER,LOSER
478,False,LOSER,LOSER
604,False,WINNER,WINNER
362,True,WINNER,WINNER
1,LIKELY
2,NEVER
3,NO, 
4,YES, Have used ChatGPT and study CS
5,0
6,PREFER TO SELF-IDENTIFY
fai_4,DISAGREE
fai_5,DISAGREE
rel_1,STRONGLY DISAGREE
rel_5,AGREE
com_5,AGREE
fai_2,DISAGREE
com_2,STRONGLY DISAGREE
com_1,NEUTRAL
com_3,DISAGREE
fai_3,NEUTRAL
fai_1,NEUTRAL
rel_2,NEUTRAL
1683034812.550263, 1683034920.2469194, 1683035007.5249884
