744,True,WINNER,WINNER
769,True,LOSER,LOSER
420,True,LOSER,LOSER
582,False,LOSER,LOSER
421,False,WINNER,WINNER
722,False,LOSER,LOSER
626,False,WINNER,WINNER
478,False,WINNER,WINNER
698,True,LOSER,LOSER
342,True,LOSER,LOSER
1,UNLIKELY
2,SOMETIMES
3,YES, Ein bisschen Frieden - Nicole
4,YES, I am studying computer science
5,30
6,FEMALE
rel_1,DISAGREE
rel_2,NEUTRAL
fai_2,STRONGLY DISAGREE
fai_5,DISAGREE
com_3,DISAGREE
fai_4,DISAGREE
com_1,NEUTRAL
fai_3,DISAGREE
rel_5,NEUTRAL
fai_1,DISAGREE
com_5,NEUTRAL
com_2,NEUTRAL
1683037043.0197437, 1683037072.8672016, 1683037274.3313723
