497,False,LOSER,LOSER
421,False,WINNER,WINNER
674,False,LOSER,LOSER
496,True,LOSER,LOSER
458,True,LOSER,LOSER
517,False,WINNER,WINNER
699,False,WINNER,WINNER
477,True,LOSER,LOSER
438,True,LOSER,LOSER
626,False,WINNER,WINNER
1,UNLIKELY
2,RARELY
3,NO, 
4,YES, University
5,22
6,FEMALE
fai_2,DISAGREE
rel_1,STRONGLY DISAGREE
rel_5,AGREE
fai_5,STRONGLY DISAGREE
fai_3,DISAGREE
fai_4,DISAGREE
com_2,NEUTRAL
com_5,STRONGLY DISAGREE
rel_2,NEUTRAL
com_1,NEUTRAL
fai_1,DISAGREE
com_3,DISAGREE
1683069896.19806, 1683069969.5449688, 1683070197.1630557
