401,False,WINNER,WINNER
698,True,WINNER,WINNER
559,True,LOSER,LOSER
478,False,WINNER,WINNER
560,False,LOSER,LOSER
439,False,WINNER,WINNER
497,False,WINNER,WINNER
325,False,LOSER,LOSER
400,True,LOSER,LOSER
649,False,WINNER,WINNER
1,LIKELY
2,RARELY
3,NO, 
4,YES, Studying computer science
5,26
6,MALE
com_2,NEUTRAL
rel_1,NEUTRAL
com_5,AGREE
com_3,AGREE
fai_3,NEUTRAL
rel_2,NEUTRAL
fai_1,DISAGREE
com_1,NEUTRAL
fai_2,DISAGREE
rel_5,AGREE
fai_4,NEUTRAL
fai_5,NEUTRAL
1683138511.5822654, 1683138541.852297, 1683138805.0484793
