649,False,WINNER,WINNER
744,True,LOSER,LOSER
400,True,LOSER,LOSER
382,False,LOSER,LOSER
768,True,WINNER,WINNER
438,True,WINNER,WINNER
626,False,WINNER,WINNER
421,False,LOSER,LOSER
362,True,LOSER,LOSER
325,False,LOSER,LOSER
1,UNLIKELY
2,NEVER
3,NO, 
4,YES, The internet... Chat GPT 
5,28
6,MALE
rel_5,AGREE
rel_1,DISAGREE
com_1,NEUTRAL
fai_4,STRONGLY DISAGREE
com_2,STRONGLY DISAGREE
com_3,STRONGLY DISAGREE
fai_2,STRONGLY DISAGREE
fai_5,NEUTRAL
com_5,AGREE
fai_3,DISAGREE
rel_2,DISAGREE
fai_1,DISAGREE
1683911798.6572926, 1683911858.9960139, 1683912063.6125107
