722,False,WINNER,WINNER
382,False,LOSER,LOSER
458,True,LOSER,LOSER
560,False,LOSER,LOSER
768,True,LOSER,LOSER
439,False,WINNER,WINNER
538,True,LOSER,LOSER
477,True,LOSER,LOSER
674,False,WINNER,WINNER
649,False,LOSER,LOSER
1,UNLIKELY
2,EVERY YEAR
3,NO, 
4,YES, mostly ChatGPT but also Art Generating AIs like midjourney or Dall-e
5,23
6,MALE
fai_5,AGREE
rel_5,AGREE
rel_1,AGREE
rel_2,AGREE
fai_2,AGREE
com_2,AGREE
com_3,AGREE
fai_4,AGREE
fai_1,AGREE
fai_3,AGREE
com_5,AGREE
com_1,AGREE
1681744858.2328055, 1681744953.0051887, 1681745094.0073295
