420,True,LOSER,LOSER
744,True,LOSER,LOSER
768,True,LOSER,LOSER
769,True,LOSER,LOSER
626,False,WINNER,WINNER
477,True,LOSER,LOSER
745,False,WINNER,WINNER
382,False,WINNER,WINNER
698,True,LOSER,LOSER
674,False,WINNER,WINNER
1,VERY UNLIKELY
2,RARELY
3,NO, 
4,YES, University
5,31
6,MALE
7,
8,
rel_1,STRONGLY DISAGREE
com_3,NEUTRAL
fai_3,STRONGLY DISAGREE
rel_5,NEUTRAL
com_2,STRONGLY DISAGREE
rel_2,STRONGLY DISAGREE
com_1,DISAGREE
fai_5,STRONGLY DISAGREE
com_5,STRONGLY DISAGREE
fai_4,DISAGREE
fai_2,STRONGLY DISAGREE
fai_1,NEUTRAL
1683034310.4517903, 1683034335.838571, 1683034484.2442424
