401,False,WINNER,WINNER
559,True,LOSER,LOSER
400,True,LOSER,LOSER
626,False,WINNER,WINNER
604,False,WINNER,WINNER
674,False,LOSER,LOSER
439,False,WINNER,WINNER
769,True,LOSER,LOSER
699,False,LOSER,WINNER
458,True,WINNER,WINNER
1,LIKELY
2,NEVER
3,NO, 
4,YES, Computer Scinece Studium
5,25
6,MALE
7,Melody, if the sound is able to make masses move 
8,
fai_2,STRONGLY AGREE
com_1,NEUTRAL
fai_4,AGREE
fai_3,DISAGREE
rel_1,DISAGREE
rel_2,AGREE
com_5,AGREE
fai_5,DISAGREE
com_3,STRONGLY AGREE
com_2,STRONGLY AGREE
rel_5,NEUTRAL
fai_1,STRONGLY DISAGREE
1683135017.9275162, 1683135078.9088979, 1683135227.4699607
