722,False,WINNER,LOSER
582,False,WINNER,WINNER
769,True,LOSER,LOSER
400,True,WINNER,WINNER
477,True,LOSER,LOSER
604,False,WINNER,WINNER
362,True,LOSER,LOSER
401,False,LOSER,WINNER
649,False,WINNER,WINNER
560,False,WINNER,WINNER
1,LIKELY
2,EVERY YEAR
3,NO, 
4,NO, 
5,32
6,FEMALE
7,
8,Verry 
rel_5,AGREE
rel_2,NEUTRAL
com_1,AGREE
fai_3,AGREE
com_2,AGREE
rel_1,DISAGREE
fai_4,DISAGREE
fai_1,AGREE
com_5,STRONGLY AGREE
fai_5,AGREE
fai_2,DISAGREE
com_3,AGREE
1683579264.9554377, 1683579719.7330077, 1683579889.1137626
