421,False,LOSER,LOSER
604,False,WINNER,WINNER
582,False,WINNER,WINNER
382,False,WINNER,WINNER
362,True,LOSER,LOSER
560,False,WINNER,WINNER
674,False,LOSER,LOSER
745,False,WINNER,WINNER
420,True,LOSER,LOSER
538,True,WINNER,WINNER
1,LIKELY
2,MOST YEARS
3,YES, Carola
4,YES, 
5,31
6,PREFER TO SELF-IDENTIFY
7,
8,
com_3,DISAGREE
fai_4,DISAGREE
fai_2,DISAGREE
rel_5,DISAGREE
rel_1,DISAGREE
rel_2,DISAGREE
fai_5,DISAGREE
com_1,DISAGREE
fai_3,DISAGREE
com_2,DISAGREE
com_5,DISAGREE
fai_1,DISAGREE
1681740920.8547368, 1681740991.6802795, 1681741099.023408
