	year	to_country_id	to_country	performer	song	place_contest	sf_num	running_final	running_sf	place_final	points_final	place_sf	points_sf	points_tele_final	points_jury_final	points_tele_sf	points_jury_sf	composers	lyricists	lyrics	youtube_url	is_last	spotify_links
325	1977	fr	France	Marie Myriam	L'oiseau Et L'enfant	1.0		18.0		1.0	136.0							Jean-Paul Cara	Joe Gracy	Comme un enfant aux yeux de lumière\nQui voit passer au loin les oiseaux\nComme l'oiseau bleu survolant la terre\nVois comme le monde... le monde est beau\n\nBeau, le bateau dansant sur les vagues\nIvre de vie, d'amour et de vent\nBelle, la chanson naissante des vagues\nAbandonnée au sable blanc\n\nBlanc, l'innocent, le sang du poète\nQui en chantant invente l'amour\nPour que la vie s'habille de fête\nEt que la nuit se change en jour\n\nJour d'une vie où l'aube se lève\nPour réveiller la ville aux yeux lourds\nOù les matins effeuillent les rêves\nPour nous donner un monde d'amour\n\nL'amour, c'est toi; l'amour, c'est moi\nL'oiseau, c'est toi; l'enfant, c'est moi\n\nMoi, je ne suis qu'une fille de l'ombre\nQui voit briller l'étoile du soir\nToi, mon étoile, qui tisses ma ronde\nViens allumer mon soleil noir\n\nNoirs, la misère, les hommes et la guerre\nQui croient tenir les rênes du temps\nPays d'amour n'a pas de frontière\nPour ceux qui ont un cœur d'enfant\n\nComme un enfant aux yeux de lumière\nQui voit passer au loin les oiseaux\nComme l'oiseau bleu survolant la terre\nNous trouverons ce monde d'amour\n\nL'amour, c'est toi; l'amour, c'est moi\nL'oiseau, c'est toi; l'enfant, c'est moi\n\nL'oiseau, c'est toi; l'enfant, c'est moi\nL'oiseau, c'est toi; l'enfant, c'est moi	https://youtube.com/watch?v=ny_YsJUVdBg	False	https://open.spotify.com/embed/track/7Hy0CZtFcREucLDXB5jp6m?utm_source=generator
342	1977	se	Sweden	Forbes	Beatles	18.0		13.0		18.0	2.0							Claes Bure	Sven-Olof Bagge	Beatles gav oss sin musik, 'Yesterday', vad den var fin\nAlla älska' melodin, yeah yeah yeah...\n\nNär skivor kom då gick det larm\nGrammofonen den gick varm\nAlla föll för Beatles charm, yeah yeah yeah...\n\nMånga gick och nynna' på\n'A Hard Day's Night' fast de var små\nFarfars far kan ge svar vem de var\nBeatles, Beatles\n\nVärlden var en stor estrad och där stod vi rad i rad\nNjöt av varje fin ballad, yeah yeah yeah...\n\nBeatles gav oss sin musik, flickor tjöt i vilda skrik\nAlla skivor har vi kvar, vi ska minnas Ringo Starr\nOch George och Paul och John\n\nFarfars far, kan ge svar vem de var\nBeatles, Beatles\n\nVärlden var en stor estrad och där stod vi rad i rad\nNjöt av varje fin ballad, yeah yeah yeah...\n\nBeatles gav oss sin musik, flickor tjöt i vilda skrik\nAlla skivor har vi kvar, vi ska minnas Ringo Starr\nOch George och Paul och John	https://youtube.com/watch?v=OrFg4nyBeAE	True	https://open.spotify.com/embed/track/1LiPcvWAEMC4AMUnHDbppP?utm_source=generator
343	1978	il	Israel	Izhar Cohen and the Alphabeta	A-Ba-Ni-Bi	1.0		18.0		1.0	157.0							Nurit Hirsh	Ehud Manor	A-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\nA-ba-ni-bi o-bo-he-bev\nO-bo-he-bev o-bo-ta-bach\n\nKeshehayinu yeladim\nAhavnu besodei sodot\nEl mi hayinu nechmadim?\nRak ledodim uledodot\n\nVehabanot hamiskenot savlu\nHametukot, hen rak makot kiblu\nVe'et ma shehirgashnu be'emet\nLachashnu rak bisfat haBet\n\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\n\nAhava hi mila yafa\nHi tfila yafa, hi safa\nAhava hi elai tova\nHi tamid titgaber\nUbisfat ahava nedaber\n\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\n\nAni cholem vekam shalosh milim\nUmahu ha'olam? –  Shalosh milim\nVeze ma she'ani margish ka'et\nMamash kmo az, bisfat haBet\n\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\n\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\n\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach	https://youtube.com/watch?v=QvZS6tnZKMU	False	?
362	1978	no	Norway	Jahn Teigen	Mil Etter Mil	20.0		2.0		20.0	0.0							Kai Eide		Hvil deg nå, du er sliten\nHvil din kropp før din kraft ebber ut\nVann pipler inn i dine sko\nDu vandrer i regn\n\nMil etter mil etter mil\nEtter mil etter mil etter mil\n\nSøk mot meg hvis du lengter\nRett ditt sinn mot et annet sted\nKomm hit hvor jeg er, hvor solen er nær\nDu må ikke gå\n\nMil etter mil etter mil\nEtter mil etter mil etter mil\n\nOg det er langt å gå\nDet er lengselen som driver deg\nMot et lys som du kan se\nMen ikke jeg\n\nTenk deg om nå\nHvor farer du hen\nDu har vandret altfor lenge\n\nMil etter mil etter mil\nEtter mil etter mil etter mil\n\nTenk deg om nå\nHvor farer du hen\nDu har vandret altfor lenge\n\nMil etter mil etter mil\nEtter mil etter mil etter mil\nEtter mil etter mil etter mil\nEtter mil etter mil etter mil\nEtter mil	https://youtube.com/watch?v=dVj8tlXQ1Vg	True	https://open.spotify.com/embed/track/2tbNnbDM8vcGxlPqzyQHNj?utm_source=generator
363	1979	il	Israel	Milk and Honey	Hallelujah	1.0		10.0		1.0	125.0							Kobi Oshrat	Shimrit Orr	Hallelujah la'olam\nHallelujah, yashiru kulam\nBemila achat bodeda\nHalev male bahamon toda\nVeholem gam hu: eize olam nifla\n\nHallelujah im hashir\nHallelujah al yom sheme'ir\nHallelujah al ma shehaya\nUma she'od lo haya\nHallelujah\n\nHallelujah la'olam\nHallelujah, yashiru kulam\nVeha'inbalim hagdolim\nYehadhedu bahamon tslilim\nVe'itanu hem yomru Hallelujah\n\nHallelujah im hashir\nHallelujah al yom sheme'ir\nHallelujah al ma shehaya\nUma she'od lo haya\nHallelujah\n\nHallelujah al hakol\nHalelu al machar ve'etmol\nHallelujah utnu yad beyad\nVeshiru milev echad\nHallelujah\n\nHallelujah im hashir\nHallelujah al yom sheme'ir\nHallelujah al ma shehaya\nUma she'od lo haya\nHallelujah\n\nHallelujah al ma shehaya\nUma she'od lo haya\nHallelujah	https://youtube.com/watch?v=C33kO3fvjkI	False	?
380	1979	be	Belgium	Micha Marah	Hey Nana	18.0		12.0		18.0	5.0							Charles Dumolin	Guy Beyers	Hé, kom je mee?\nBlijf je hier bij mij vannacht?\n'k Heb al zo lang op jou gewacht\nHé, weet je wel?\n't Is nu tijd voor 't grote spel\nJij wordt nu mijn pantoffelheld\n\nJij neemt me in je armen\nEn je draagt me in ons huis\nIk zal altijd heel lief voor je zijn\n\nZou dat niet heerlijk zijn voor jou en mij?\nZo'n heel klein huisje voor ons allebei\nWaarin we heel gelukkig zouden zijn\nEn als je 's avonds na je werk verschijnt\n\nDan roep ik:\nHey hey... nanana... nana nana...\nHey hey... nanana... nana nana...\nJij neemt me in je armen\nEn je draagt me in ons huis\n\nZo zie je maar\nZo komt alles voor mekaar\nWij worden samen nu een paar\nIk zorg voor jou\nNet zoals jij zorgt voor mij\nEn ons geluk gaat nooit voorbij\n\nJij neemt me in je armen\nEn je draagt me in ons huis\nIk zal altijd heel lief voor je zijn\n\nZou dat niet heerlijk zijn voor jou en mij?\nZo'n heel klein huisje voor ons allebei\nWaarin we heel gelukkig zouden zijn\nEn als je 's avonds na je werk verschijnt\n\nDan roep ik:\nHey hey... nanana... nana nana...\nHey hey... nanana... nana nana...\nJij neemt me in je armen\nEn je draagt me in ons huis\n\nHey hey... nanana... nana nana...\nHey hey... nanana... nana nana...\nHey hey... nanana... nana nana...\nHey hey... nanana... nanana na...	https://youtube.com/watch?v=kHKjdkduPNI	True	?
381	1979	at	Austria	Christina Simon	Heute In Jerusalem	18.0		18.0		18.0	5.0							Peter Wolf	André Heller	Erhebt euch, tut ab den Schlaf\nIn dieser Zeit der bitteren Früchte\nÜbt Freunde eure Wachsamkeit\nDem Weinen und der Angst zu wehren\n\nSeht, aus der Kühle hoher Luft\nDa fallen hundert Monde\nAls Zeichen für den Neubeginn\nAls Sinn wider den Widersinn\n\nUnd heute in Jerusalem\nEndlich in Jerusalem\nAtem holen und besinnen\nUnd heute in Jerusalem\nFriede für Jerusalem\n\nSeht, aus der Kühle hoher Luft\nDa fallen hundert Monde\nAls Zeichen für den Neubeginn\nAls Sinn wider den Widersinn\n\nUnd heute in Jerusalem\nEndlich in Jerusalem\nAtem holen und besinnen\nUnd heute in Jerusalem\nFriede für Jerusalem	https://youtube.com/watch?v=X3w26dtqpZY	True	-
382	1980	ie	Ireland	Johnny Logan	What's Another Year	1.0		17.0		1.0	143.0							Shay Healy		I've been waitin' such a long time\nLookin' out for you, but you're not here\nWhat's another year?\n\nI've been wakin' such a long time\nReachin' out for you, but you aren't near\nWhat's another year?\n\nWhat's another year\nFor someone who's lost everything that he owns?\nWhat's another year\nFor someone who's gettin' used to bein' alone?\n\nI've been prayin' such a long time\nIt's the only way to hide the fear\nWhat's another year?\n\nWhat's another year\nFor someone who's lost everything that he owns?\nWhat's another year\nFor someone who's gettin' used to bein' alone?\n\nI've been cryin' such a long time\nWith such a lot of pain in every tear\nWhat's another year\n(For someone who is getting used to being alone?)\nWhat's another year\n(For someone who is getting used to being alone?)\nWhat's another year\n(For someone who is getting used to being alone?)	https://youtube.com/watch?v=BPOwTXWe-Yw	False	https://open.spotify.com/embed/track/3xGXaTsKtS55UZiWgcXlu8?utm_source=generator
400	1980	fi	Finland	Vesa-Matti Loiri	Huilumies	19.0		10.0		19.0	6.0							Aarno Raninen	Veikko 'Vexi' Salmi	On tässä huilu ja huilumies\nEn täytä mittaa normien\nSormien soutelun huoleni huilutan\nJos en lausein tunteita tulkita voi\nNiille varmasti huilu soi\nJa niistä sielun soinnut pienoisen lauluni loi\n\nOn siinä aamun kastehelmien tuoksu\nOn kevät lämmin vuoripuron juoksu\nKaiken sen minkä aistin huiluni soi\nOn siinä hiiltyvä ilta, auringon rusko\nParempien päivien sammumaton usko\nOn syksyn kuolevaa ruskaa, on elämä tuskaa\nSen huiluni soi\n\nOn tässä huilu ja huilumies\nMä näen luonnon tauluna lauluna teille sen kaiken mä soinnutan\nJa näin riemut, surut ja arkikin soi\nJos en tuntea oikein voi\nOn joka pettymys, nauru sykkivät sointuni loi\n\nOn siinä päiväperhon leikkivä liito\nSammuvan tähden öinen viime kiito\nKaiken sen minkä aistin huiluni soi\nOn siinä tuiskuvan talven hyytävä halla\nIhmisen pienuus kaikkeuden alla\nOn syksyn kuolevaa ruskaa, on elämä tuskaa\nSen huiluni soi\n\nOn siinä päiväperhon leikkivä liito\nSammuvan tähden öinen viime kiito\nKaiken sen minkä aistin huiluni soi\nOn siinä tuiskuvan talven hyytävä halla\nIhmisen pienuus kaikkeuden alla\nOn syksyn kuolevaa ruskaa, on elämä tuskaa\nSen huiluni soi	https://youtube.com/watch?v=MaBhx84GA8g	True	https://open.spotify.com/embed/track/4eyxjL6wFEfF0xudWnFr32?utm_source=generator
401	1981	gb	United Kingdom	Bucks Fizz	Making Your Mind Up	1.0		14.0		1.0	136.0							John Danter	Andy Hill	You gotta speed it up\nAnd then you gotta slow it down\n'Cause if you believe that our love can hit the top\nYou gotta play around\nBut soon you will find that there comes a time\nFor making your mind up\n\nYou gotta turn it on\nAnd then you gotta put it out\nYou gotta be sure that it's something\nEverybody's gonna talk about\nBefore you decide that the time's arrived\nFor making your mind up\n\nDon't let your indecision\nTake you from behind\nTrust your inner vision\nDon't let others change your mind\n\nAnd now you really gotta burn it up\nAnd make another fly by night\nGet a run for your money\nAnd take a chance and it'll turn out right\nBut when you can see how it's gotta be\nYou're making your mind up\n\nAnd try to look as if you don't care less\nBut if you wanna see some more\nBending the rules of the game\nWill let you find the one you're looking for\nAnd then you can show that you think you know\nYou're making your mind up\n\nDon't let your indecision\nTake you from behind\nTrust your inner vision\nDon't let others change your mind\n\nAnd now you really gotta speed it up\nAnd then you gotta slow it down\n'Cause if you believe that our love can hit the top\nYou gotta play around\nBut soon you will find that there comes a time\nFor making your mind up\n\nAnd now you really gotta speed it up\nAnd then you gotta slow it down\n'Cause if you believe that our love can hit the top\nYou gotta play around\nBut soon you will find that there comes a time\nFor making your mind up\nFor making your mind up\nFor making your mind up\nFor making your mind up	https://youtube.com/watch?v=62SrA5hCmkE	False	https://open.spotify.com/embed/track/0Azn2vpP3Sbs8qAG8e1KUc?utm_source=generator
