477,True,LOSER,LOSER
420,True,LOSER,LOSER
745,False,WINNER,WINNER
478,False,LOSER,LOSER
458,True,LOSER,WINNER
325,False,LOSER,WINNER
744,True,WINNER,WINNER
722,False,WINNER,WINNER
439,False,WINNER,WINNER
362,True,LOSER,LOSER
1,NEUTRAL
2,RARELY
3,NO, 
4,NO, 
5,37
6,FEMALE
fai_2,DISAGREE
fai_4,DISAGREE
fai_1,DISAGREE
rel_5,DISAGREE
com_3,DISAGREE
com_2,DISAGREE
fai_3,DISAGREE
com_5,DISAGREE
com_1,DISAGREE
rel_1,DISAGREE
rel_2,DISAGREE
fai_5,DISAGREE
1681837093.7671556, 1681837252.6170273, 1681837392.248153
