560,False,LOSER,LOSER
362,True,LOSER,LOSER
538,True,WINNER,WINNER
438,True,WINNER,WINNER
722,False,WINNER,WINNER
768,True,WINNER,WINNER
458,True,LOSER,LOSER
477,True,LOSER,LOSER
517,False,LOSER,LOSER
400,True,WINNER,WINNER
1,VERY LIKELY
2,EVERY YEAR
3,YES, TEST
4,YES, TEST
5,0
6,PREFER TO SELF-IDENTIFY
fai_4,STRONGLY AGREE
rel_1,STRONGLY AGREE
rel_5,STRONGLY AGREE
com_1,STRONGLY AGREE
fai_5,STRONGLY AGREE
com_5,STRONGLY AGREE
com_2,STRONGLY AGREE
rel_2,STRONGLY AGREE
com_3,STRONGLY AGREE
fai_2,STRONGLY AGREE
fai_1,STRONGLY AGREE
fai_3,STRONGLY AGREE
1682842448.266936, 1682842461.632888, 1682842498.346992
