362,True,LOSER,LOSER
478,False,LOSER,LOSER
477,True,LOSER,LOSER
722,False,LOSER,LOSER
744,True,LOSER,LOSER
382,False,WINNER,WINNER
438,True,WINNER,WINNER
602,True,LOSER,LOSER
582,False,WINNER,WINNER
560,False,WINNER,WINNER
1,LIKELY
2,RARELY
3,NO, 
4,YES, I study Informatics
5,24
6,MALE
com_3,STRONGLY DISAGREE
fai_3,NEUTRAL
rel_1,DISAGREE
com_5,NEUTRAL
fai_4,DISAGREE
fai_5,DISAGREE
com_1,NEUTRAL
fai_2,DISAGREE
fai_1,DISAGREE
rel_5,NEUTRAL
com_2,NEUTRAL
rel_2,NEUTRAL
1683035398.2750483, 1683035436.8261626, 1683035535.2811687
