400,True,LOSER,LOSER
768,True,WINNER,WINNER
439,False,WINNER,WINNER
698,True,LOSER,LOSER
382,False,LOSER,LOSER
325,False,WINNER,WINNER
421,False,WINNER,WINNER
649,False,LOSER,LOSER
559,True,LOSER,LOSER
602,True,WINNER,WINNER
1,LIKELY
2,NEVER
3,YES, Ein bisschen Friede 
4,YES, ChatGPD
5,34
6,MALE
com_5,AGREE
fai_2,AGREE
fai_1,NEUTRAL
rel_5,AGREE
com_2,AGREE
com_1,AGREE
rel_2,AGREE
rel_1,NEUTRAL
com_3,DISAGREE
fai_5,NEUTRAL
fai_3,DISAGREE
fai_4,DISAGREE
1683035477.359993, 1683035504.287576, 1683035640.57403
