769,True,LOSER,LOSER
401,False,WINNER,WINNER
362,True,LOSER,LOSER
582,False,LOSER,LOSER
477,True,LOSER,LOSER
768,True,WINNER,WINNER
325,False,WINNER,WINNER
604,False,WINNER,WINNER
699,False,LOSER,LOSER
478,False,WINNER,WINNER
1,UNLIKELY
2,EVERY YEAR
3,NO, 
4,YES,  Study computer science
5,24
6,MALE
rel_1,DISAGREE
com_5,NEUTRAL
com_2,NEUTRAL
rel_2,NEUTRAL
fai_4,DISAGREE
rel_5,AGREE
com_1,NEUTRAL
fai_2,AGREE
fai_5,AGREE
fai_1,DISAGREE
com_3,STRONGLY DISAGREE
fai_3,DISAGREE
1683041784.8353467, 1683041821.494023, 1683041980.002803
