400,True,WINNER,WINNER
626,False,WINNER,WINNER
698,True,LOSER,LOSER
769,True,LOSER,LOSER
582,False,WINNER,WINNER
438,True,LOSER,LOSER
497,False,LOSER,LOSER
382,False,WINNER,WINNER
420,True,LOSER,LOSER
342,True,WINNER,WINNER
1,LIKELY
2,SOMETIMES
3,YES, 
4,YES, Social Media and books
5,24
6,MALE
com_1,DISAGREE
fai_5,DISAGREE
fai_1,DISAGREE
rel_5,DISAGREE
fai_4,DISAGREE
com_2,DISAGREE
fai_3,DISAGREE
rel_2,DISAGREE
com_3,DISAGREE
com_5,DISAGREE
rel_1,DISAGREE
fai_2,DISAGREE
1681731679.4352448, 1681731724.200357, 1681731901.7635581
