722,False,WINNER,WINNER
744,True,LOSER,LOSER
342,True,WINNER,WINNER
559,True,LOSER,LOSER
421,False,WINNER,WINNER
769,True,LOSER,LOSER
497,False,WINNER,WINNER
582,False,LOSER,LOSER
477,True,LOSER,LOSER
439,False,WINNER,WINNER
1,UNLIKELY
2,SOMETIMES
3,YES, 
4,YES, 
5,30
6,MALE
fai_4,NEUTRAL
rel_2,NEUTRAL
fai_2,DISAGREE
rel_1,NEUTRAL
com_1,DISAGREE
fai_5,DISAGREE
com_3,DISAGREE
rel_5,NEUTRAL
fai_1,DISAGREE
com_2,DISAGREE
com_5,DISAGREE
fai_3,DISAGREE
1683049347.1375456, 1683049379.146962, 1683049509.069649
