478,False,WINNER,WINNER
458,True,LOSER,LOSER
342,True,LOSER,LOSER
538,True,LOSER,LOSER
698,True,LOSER,LOSER
362,True,LOSER,LOSER
582,False,LOSER,LOSER
674,False,WINNER,WINNER
325,False,WINNER,WINNER
438,True,LOSER,LOSER
1,UNLIKELY
2,EVERY YEAR
3,YES, All
4,NO, 
5,21
6,MALE
com_3,DISAGREE
fai_2,DISAGREE
rel_5,DISAGREE
fai_4,DISAGREE
com_5,DISAGREE
fai_3,DISAGREE
rel_1,DISAGREE
rel_2,DISAGREE
com_1,DISAGREE
fai_1,DISAGREE
com_2,DISAGREE
fai_5,DISAGREE
1681737080.9850352, 1681737098.9527187, 1681737242.7236123
