699,False,WINNER,WINNER
420,True,LOSER,LOSER
342,True,LOSER,WINNER
421,False,LOSER,LOSER
517,False,WINNER,WINNER
438,True,WINNER,WINNER
362,True,WINNER,LOSER
698,True,WINNER,WINNER
458,True,WINNER,LOSER
604,False,WINNER,WINNER
1,UNLIKELY
2,RARELY
3,YES, Ein bisschen Frieden, etc.
4,NO, 
5,22
6,FEMALE
7,
8,
com_5,DISAGREE
rel_5,DISAGREE
rel_2,DISAGREE
fai_2,DISAGREE
fai_5,DISAGREE
com_2,DISAGREE
fai_3,DISAGREE
com_3,DISAGREE
com_1,DISAGREE
fai_4,DISAGREE
rel_1,DISAGREE
fai_1,DISAGREE
1681808296.4345138, 1681808396.3212848, 1681808546.8676884
