582,False,LOSER,LOSER
559,True,LOSER,LOSER
744,True,WINNER,WINNER
362,True,LOSER,LOSER
722,False,WINNER,WINNER
538,True,LOSER,LOSER
439,False,WINNER,WINNER
497,False,LOSER,LOSER
401,False,LOSER,LOSER
400,True,WINNER,WINNER
1,NEUTRAL
2,EVERY YEAR
3,NO, 
4,NO, 
5,20
6,FEMALE
7,
8,
fai_4,DISAGREE
rel_2,DISAGREE
rel_5,DISAGREE
fai_5,DISAGREE
com_1,DISAGREE
com_3,DISAGREE
fai_3,DISAGREE
rel_1,DISAGREE
com_2,DISAGREE
com_5,DISAGREE
fai_1,DISAGREE
fai_2,DISAGREE
1681849063.8456945, 1681849128.6862566, 1681849202.3567793
