744,True,LOSER,LOSER
604,False,WINNER,WINNER
602,True,LOSER,LOSER
517,False,WINNER,WINNER
458,True,LOSER,LOSER
421,False,WINNER,WINNER
401,False,WINNER,WINNER
477,True,LOSER,LOSER
699,False,WINNER,WINNER
626,False,WINNER,WINNER
1,VERY UNLIKELY
2,EVERY YEAR
3,YES, 3 of them
4,YES, Internet
5,27
6,MALE
7,In those AI answers were many conclusions about the lyrics and how theyve inflicted the viewers choice.
8,When sung in native language the AI referred to it in one case as exotic and also built up their verdict on the emotions the lyrics were transmitting. This is kinda contradictory imo.
fai_3,NEUTRAL
rel_5,NEUTRAL
fai_2,NEUTRAL
fai_5,NEUTRAL
com_2,NEUTRAL
rel_1,NEUTRAL
fai_1,NEUTRAL
rel_2,NEUTRAL
com_3,NEUTRAL
com_1,NEUTRAL
fai_4,NEUTRAL
com_5,NEUTRAL
1681727712.1969166, 1681727934.9453778, 1681728242.607886
