744,True,LOSER,LOSER
722,False,WINNER,WINNER
400,True,LOSER,LOSER
497,False,WINNER,WINNER
477,True,LOSER,LOSER
420,True,LOSER,LOSER
559,True,LOSER,LOSER
325,False,WINNER,WINNER
458,True,LOSER,LOSER
439,False,WINNER,WINNER
1,UNLIKELY
2,EVERY YEAR
3,YES, All the winning wntries
4,NO, 
5,28
6,MALE
7,Mostly the lyrics
8,Mostly they were based on the lyrics but that isn't everything 
rel_5,DISAGREE
fai_2,DISAGREE
com_5,DISAGREE
com_2,DISAGREE
com_3,DISAGREE
fai_4,DISAGREE
rel_2,DISAGREE
com_1,DISAGREE
rel_1,DISAGREE
fai_1,DISAGREE
fai_5,DISAGREE
fai_3,DISAGREE
1682012572.7700217, 1682012686.2467678, 1682012845.0972471
