722,False,LOSER,LOSER
602,True,LOSER,LOSER
497,False,WINNER,WINNER
342,True,WINNER,WINNER
477,True,LOSER,LOSER
400,True,WINNER,WINNER
674,False,WINNER,WINNER
626,False,WINNER,WINNER
439,False,WINNER,WINNER
745,False,WINNER,WINNER
1,LIKELY
2,SOMETIMES
3,NO, 
4,YES, University
5,22
6,MALE
7,training data
8,"somewhat plausible, sometimes a bit over the top and to deep"
com_1,DISAGREE
rel_2,AGREE
fai_2,NEUTRAL
fai_1,DISAGREE
com_5,STRONGLY AGREE
rel_1,DISAGREE
fai_5,NEUTRAL
fai_3,DISAGREE
com_3,NEUTRAL
com_2,NEUTRAL
fai_4,STRONGLY DISAGREE
rel_5,AGREE
1683034503.2575293, 1683034589.1315722, 1683034736.3335507
