517,False,WINNER,WINNER
478,False,WINNER,WINNER
342,True,LOSER,LOSER
559,True,LOSER,LOSER
400,True,LOSER,LOSER
745,False,WINNER,WINNER
538,True,LOSER,LOSER
626,False,WINNER,WINNER
420,True,LOSER,LOSER
497,False,WINNER,WINNER
1,UNLIKELY
2,RARELY
3,NO, 
4,YES, University/Job
5,20
6,MALE
7,lyrics
8,"Not much, because there is so much more about winning eurovision: Political time/Performance"
fai_5,NEUTRAL
fai_2,AGREE
rel_1,STRONGLY DISAGREE
rel_2,NEUTRAL
com_2,DISAGREE
com_3,STRONGLY DISAGREE
rel_5,AGREE
com_5,DISAGREE
fai_3,AGREE
fai_1,NEUTRAL
com_1,DISAGREE
fai_4,STRONGLY DISAGREE
1683035800.1785216, 1683035883.546876, 1683036152.0733755
