722,False,LOSER,LOSER
699,False,WINNER,WINNER
497,False,LOSER,LOSER
325,False,LOSER,LOSER
559,True,LOSER,LOSER
517,False,WINNER,WINNER
439,False,WINNER,WINNER
626,False,WINNER,WINNER
769,True,WINNER,WINNER
400,True,LOSER,LOSER
1,UNLIKELY
2,SOMETIMES
3,NO, 
4,NO, 
5,37
6,FEMALE
7,
8,
rel_5,NEUTRAL
fai_2,DISAGREE
fai_5,NEUTRAL
com_1,AGREE
com_3,NEUTRAL
fai_1,NEUTRAL
rel_2,NEUTRAL
fai_4,NEUTRAL
com_2,NEUTRAL
rel_1,NEUTRAL
fai_3,NEUTRAL
com_5,AGREE
1683045044.847398, 1683045122.5885417, 1683045281.0111742
