342,True,WINNER,WINNER
420,True,LOSER,LOSER
421,False,LOSER,LOSER
496,True,LOSER,LOSER
439,False,WINNER,WINNER
698,True,LOSER,LOSER
458,True,LOSER,LOSER
401,False,WINNER,WINNER
382,False,WINNER,WINNER
745,False,WINNER,WINNER
1,NEUTRAL
2,SOMETIMES
3,YES, Love Shine a Light
4,YES, "Chat GPT, customer service"
5,22
6,FEMALE
7,Past Eurovision results 
8,Very- it made sense and I agreed with its reasoning
rel_2,DISAGREE
rel_1,DISAGREE
com_2,DISAGREE
rel_5,DISAGREE
com_5,DISAGREE
fai_4,DISAGREE
com_1,DISAGREE
com_3,DISAGREE
fai_2,DISAGREE
fai_5,DISAGREE
fai_3,DISAGREE
fai_1,DISAGREE
1681733991.4059143, 1681734207.3863358, 1681734343.9163134
