	year	to_country_id	to_country	performer	song	place_contest	sf_num	running_final	running_sf	place_final	points_final	place_sf	points_sf	points_tele_final	points_jury_final	points_tele_sf	points_jury_sf	composers	lyricists	lyrics	youtube_url	is_last	spotify_links	explanation_correct	explanation_incorrect
325	1977	fr	France	Marie Myriam	L'oiseau Et L'enfant	1.0		18.0		1.0	136.0							Jean-Paul Cara	Joe Gracy	Comme un enfant aux yeux de lumière\nQui voit passer au loin les oiseaux\nComme l'oiseau bleu survolant la terre\nVois comme le monde... le monde est beau\n\nBeau, le bateau dansant sur les vagues\nIvre de vie, d'amour et de vent\nBelle, la chanson naissante des vagues\nAbandonnée au sable blanc\n\nBlanc, l'innocent, le sang du poète\nQui en chantant invente l'amour\nPour que la vie s'habille de fête\nEt que la nuit se change en jour\n\nJour d'une vie où l'aube se lève\nPour réveiller la ville aux yeux lourds\nOù les matins effeuillent les rêves\nPour nous donner un monde d'amour\n\nL'amour, c'est toi; l'amour, c'est moi\nL'oiseau, c'est toi; l'enfant, c'est moi\n\nMoi, je ne suis qu'une fille de l'ombre\nQui voit briller l'étoile du soir\nToi, mon étoile, qui tisses ma ronde\nViens allumer mon soleil noir\n\nNoirs, la misère, les hommes et la guerre\nQui croient tenir les rênes du temps\nPays d'amour n'a pas de frontière\nPour ceux qui ont un cœur d'enfant\n\nComme un enfant aux yeux de lumière\nQui voit passer au loin les oiseaux\nComme l'oiseau bleu survolant la terre\nNous trouverons ce monde d'amour\n\nL'amour, c'est toi; l'amour, c'est moi\nL'oiseau, c'est toi; l'enfant, c'est moi\n\nL'oiseau, c'est toi; l'enfant, c'est moi\nL'oiseau, c'est toi; l'enfant, c'est moi	https://youtube.com/watch?v=ny_YsJUVdBg	False	https://open.spotify.com/embed/track/7Hy0CZtFcREucLDXB5jp6m?utm_source=generator	"Based on the analysis of the lyrics of the song ""L'oiseau Et L'enfant"" by Marie Myriam from France, my prediction that this song would be a winner at the Eurovision Song Contest is primarily influenced by the line ""Pays d'amour n'a pas de frontière"" which translates to ""A country of love has no borders"". This line conveys a powerful message of unity, peace, and love without any boundaries, emphasizing the importance of breaking down barriers and promoting harmony between different cultures and nations. This message resonates strongly with the values and spirit of the Eurovision Song Contest, which celebrates diversity and promotes international friendship and cooperation through music. Additionally, the song features beautiful imagery, a touching melody, and emotive vocals, all of which contribute to its overall appeal and potential for success at the competition."	"As an AI model trained to predict Eurovision Song Contest winners and losers based on various features such as song title, singer, country of origin, and lyrics, I have analyzed the lyrics of ""L'oiseau Et L'enfant"" by Marie Myriam from France and have predicted that it will be a loser. One of the key factors influencing my prediction is the line ""Comme l'oiseau bleu survolant la terre"" which translates to ""Like the blue bird flying over the earth"" in English.  While this line is quite poetic and captures a beautiful image, it is not particularly unique or memorable compared to other Eurovision songs that have been successful in the past. Additionally, the overall lyrical content of the song is quite abstract and lacks a clear message or narrative that would resonate with a wide audience. Therefore, based on my analysis of the song's features, I predict that it will not be a winner at the Eurovision Song Contest."
342	1977	se	Sweden	Forbes	Beatles	18.0		13.0		18.0	2.0							Claes Bure	Sven-Olof Bagge	Beatles gav oss sin musik, 'Yesterday', vad den var fin\nAlla älska' melodin, yeah yeah yeah...\n\nNär skivor kom då gick det larm\nGrammofonen den gick varm\nAlla föll för Beatles charm, yeah yeah yeah...\n\nMånga gick och nynna' på\n'A Hard Day's Night' fast de var små\nFarfars far kan ge svar vem de var\nBeatles, Beatles\n\nVärlden var en stor estrad och där stod vi rad i rad\nNjöt av varje fin ballad, yeah yeah yeah...\n\nBeatles gav oss sin musik, flickor tjöt i vilda skrik\nAlla skivor har vi kvar, vi ska minnas Ringo Starr\nOch George och Paul och John\n\nFarfars far, kan ge svar vem de var\nBeatles, Beatles\n\nVärlden var en stor estrad och där stod vi rad i rad\nNjöt av varje fin ballad, yeah yeah yeah...\n\nBeatles gav oss sin musik, flickor tjöt i vilda skrik\nAlla skivor har vi kvar, vi ska minnas Ringo Starr\nOch George och Paul och John	https://youtube.com/watch?v=OrFg4nyBeAE	True	https://open.spotify.com/embed/track/1LiPcvWAEMC4AMUnHDbppP?utm_source=generator	"Based on the analysis of the lyrics of the song ""Beatles"" by Forbes from Sweden, my prediction is that this song would be a loser at the Eurovision Song Contest. The line ""Alla älska' melodin, yeah yeah yeah..."" which translates to ""Everyone loved the melody, yeah yeah yeah..."" is the part of the lyrics that had the biggest influence on my prediction. While the song pays tribute to the iconic band ""The Beatles"" and their music, it primarily relies on nostalgia and doesn't offer anything new or innovative. The lyrics are repetitive and lack depth, and the melody is unremarkable and unmemorable. In addition, the song's title ""Beatles"" may mislead listeners into thinking that the song is a cover or a tribute to the original band, rather than an original composition. Furthermore, the Eurovision Song Contest tends to favor songs that are fresh, original, and distinctive, and unfortunately, ""Beatles"" fails to meet these criteria. Therefore, based on these factors, my prediction is that ""Beatles"" by Forbes from Sweden would be a loser at the Eurovision Song Contest."	"As an AI model trained to predict Eurovision Song Contest winners and losers based on various features such as song title, singer, country of origin, and lyrics, I have analyzed the lyrics of ""Beatles"" by Forbes from Sweden and have predicted that it will be a winner. One of the key factors influencing my prediction is the line ""Alla älska' melodin, yeah yeah yeah..."" which translates to ""Everyone loved the melody, yeah yeah yeah..."" in English.  This line captures the catchy and infectious nature of the song, and suggests that it will be well-received by a wide audience. The rest of the lyrics pay tribute to the iconic band, The Beatles, and highlight the enduring popularity of their music. The song's upbeat and nostalgic tone, along with its catchy melody and sing-along chorus, make it a strong contender for success at the Eurovision Song Contest. Therefore, based on my analysis of the song's features, I predict that it will be a winner."
343	1978	il	Israel	Izhar Cohen and the Alphabeta	A-Ba-Ni-Bi	1.0		18.0		1.0	157.0							Nurit Hirsh	Ehud Manor	A-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\nA-ba-ni-bi o-bo-he-bev\nO-bo-he-bev o-bo-ta-bach\n\nKeshehayinu yeladim\nAhavnu besodei sodot\nEl mi hayinu nechmadim?\nRak ledodim uledodot\n\nVehabanot hamiskenot savlu\nHametukot, hen rak makot kiblu\nVe'et ma shehirgashnu be'emet\nLachashnu rak bisfat haBet\n\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\n\nAhava hi mila yafa\nHi tfila yafa, hi safa\nAhava hi elai tova\nHi tamid titgaber\nUbisfat ahava nedaber\n\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\n\nAni cholem vekam shalosh milim\nUmahu ha'olam? –  Shalosh milim\nVeze ma she'ani margish ka'et\nMamash kmo az, bisfat haBet\n\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\n\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach\n\nA-ba-ni-bi o-bo-he-bev\nA-ba-ni-bi o-bo-he-bev o-bo-ta-bach	https://youtube.com/watch?v=QvZS6tnZKMU	False	?	"As an AI, I predict that ""A-Ba-Ni-Bi"" by Izhar Cohen and the Alphabeta from Israel will be a winner at the Eurovision song contest. The line ""Keshehayinu yeladim"" in the lyrics played a significant role in my prediction. This line expresses nostalgia for childhood and a longing for innocence, which can resonate with many people. The song has a catchy and upbeat melody that complements the fun and joyful theme of the lyrics. The use of repetition in the lyrics, particularly the chorus, creates a memorable and easy-to-sing-along-to tune that can be appealing to the audience. Additionally, the song's title, which is a playful word game, can add to its appeal and make it more memorable. Overall, the combination of the joyful and nostalgic lyrics, catchy melody, and playful title makes ""A-Ba-Ni-Bi"" a strong contender for a winning song at the Eurovision song contest."	"Based on the given lyrics, the line ""Hametukot, hen rak makot kiblu"" had the biggest influence on my prediction that the song ""A-Ba-Ni-Bi"" by Izhar Cohen and the Alphabeta from Israel will be a loser at the Eurovision song context. This is because the line translates to ""The sweet girls only received blows,"" which suggests a negative portrayal of women in the song, which could lead to a lack of appeal and alienation of certain audiences. Additionally, the repetition of the nonsensical phrase ""A-ba-ni-bi o-bo-he-bev"" throughout the song may also hinder its success as it may not resonate well with international audiences who do not understand Hebrew."
362	1978	no	Norway	Jahn Teigen	Mil Etter Mil	20.0		2.0		20.0	0.0							Kai Eide		Hvil deg nå, du er sliten\nHvil din kropp før din kraft ebber ut\nVann pipler inn i dine sko\nDu vandrer i regn\n\nMil etter mil etter mil\nEtter mil etter mil etter mil\n\nSøk mot meg hvis du lengter\nRett ditt sinn mot et annet sted\nKomm hit hvor jeg er, hvor solen er nær\nDu må ikke gå\n\nMil etter mil etter mil\nEtter mil etter mil etter mil\n\nOg det er langt å gå\nDet er lengselen som driver deg\nMot et lys som du kan se\nMen ikke jeg\n\nTenk deg om nå\nHvor farer du hen\nDu har vandret altfor lenge\n\nMil etter mil etter mil\nEtter mil etter mil etter mil\n\nTenk deg om nå\nHvor farer du hen\nDu har vandret altfor lenge\n\nMil etter mil etter mil\nEtter mil etter mil etter mil\nEtter mil etter mil etter mil\nEtter mil etter mil etter mil\nEtter mil	https://youtube.com/watch?v=dVj8tlXQ1Vg	True	https://open.spotify.com/embed/track/2tbNnbDM8vcGxlPqzyQHNj?utm_source=generator	"Based on the line ""Tenk deg om nå"" in the lyrics of ""Mil Etter Mil"" by Jahn Teigen, my prediction is that the song will be a loser at the Eurovision song contest. This line roughly translates to ""Think about it now"" in English and it suggests a reflective and introspective tone to the song which may not resonate well with the high energy and upbeat nature of many Eurovision entries. Additionally, the song's overall slow tempo and melancholic tone may not be well-suited for the contest, where upbeat and catchy songs tend to perform better."	"Based on the line ""Du har vandret altfor lenge"" (which means ""You have walked for far too long"" in English), I predict that the song ""Mil Etter Mil"" by Jahn Teigen from Norway will be a winner at the Eurovision Song Contest. This line suggests a message of perseverance, encouraging the listener to keep going despite challenges and difficulties. The song's overall theme of perseverance and determination is likely to resonate with audiences and potentially result in a strong performance at the contest. Additionally, the melancholic melody and emotional vocals of Jahn Teigen may also contribute to its potential success."
363	1979	il	Israel	Milk and Honey	Hallelujah	1.0		10.0		1.0	125.0							Kobi Oshrat	Shimrit Orr	Hallelujah la'olam\nHallelujah, yashiru kulam\nBemila achat bodeda\nHalev male bahamon toda\nVeholem gam hu: eize olam nifla\n\nHallelujah im hashir\nHallelujah al yom sheme'ir\nHallelujah al ma shehaya\nUma she'od lo haya\nHallelujah\n\nHallelujah la'olam\nHallelujah, yashiru kulam\nVeha'inbalim hagdolim\nYehadhedu bahamon tslilim\nVe'itanu hem yomru Hallelujah\n\nHallelujah im hashir\nHallelujah al yom sheme'ir\nHallelujah al ma shehaya\nUma she'od lo haya\nHallelujah\n\nHallelujah al hakol\nHalelu al machar ve'etmol\nHallelujah utnu yad beyad\nVeshiru milev echad\nHallelujah\n\nHallelujah im hashir\nHallelujah al yom sheme'ir\nHallelujah al ma shehaya\nUma she'od lo haya\nHallelujah\n\nHallelujah al ma shehaya\nUma she'od lo haya\nHallelujah	https://youtube.com/watch?v=C33kO3fvjkI	False	?	"Based on the lyrics of the song ""Hallelujah"" by Milk and Honey from Israel, my prediction is that it will be a winner at the Eurovision song contest. The line ""Hallelujah al ma shehaya"" appears repeatedly throughout the song, and it is a powerful and uplifting phrase that translates to ""Hallelujah for what was"" or ""Hallelujah for what has happened."" This phrase, combined with the joyful and celebratory tone of the song, suggests that it will resonate with audiences and be a crowd-pleaser. Additionally, the use of Hebrew in the lyrics adds a unique and culturally significant element to the song that could appeal to a broad audience. Overall, these factors contribute to my prediction that ""Hallelujah"" will be a successful entry in the Eurovision song contest."	"Based on the provided lyrics of ""Hallelujah"" by Milk and Honey from Israel, the line ""Hallelujah, yashiru kulam"" had a significant influence on the prediction that the song will be a loser in the Eurovision song context. This is because the line is repetitive, lacks depth and creativity in lyrics, and is overly simplistic. In addition, the use of a religious word like ""Hallelujah"" may not appeal to all listeners and may limit the song's ability to connect with a diverse audience. As the Eurovision song context is known for its variety and creativity, the lack of originality in the lyrics of this song may lead to a lower score and a lower chance of winning."
380	1979	be	Belgium	Micha Marah	Hey Nana	18.0		12.0		18.0	5.0							Charles Dumolin	Guy Beyers	Hé, kom je mee?\nBlijf je hier bij mij vannacht?\n'k Heb al zo lang op jou gewacht\nHé, weet je wel?\n't Is nu tijd voor 't grote spel\nJij wordt nu mijn pantoffelheld\n\nJij neemt me in je armen\nEn je draagt me in ons huis\nIk zal altijd heel lief voor je zijn\n\nZou dat niet heerlijk zijn voor jou en mij?\nZo'n heel klein huisje voor ons allebei\nWaarin we heel gelukkig zouden zijn\nEn als je 's avonds na je werk verschijnt\n\nDan roep ik:\nHey hey... nanana... nana nana...\nHey hey... nanana... nana nana...\nJij neemt me in je armen\nEn je draagt me in ons huis\n\nZo zie je maar\nZo komt alles voor mekaar\nWij worden samen nu een paar\nIk zorg voor jou\nNet zoals jij zorgt voor mij\nEn ons geluk gaat nooit voorbij\n\nJij neemt me in je armen\nEn je draagt me in ons huis\nIk zal altijd heel lief voor je zijn\n\nZou dat niet heerlijk zijn voor jou en mij?\nZo'n heel klein huisje voor ons allebei\nWaarin we heel gelukkig zouden zijn\nEn als je 's avonds na je werk verschijnt\n\nDan roep ik:\nHey hey... nanana... nana nana...\nHey hey... nanana... nana nana...\nJij neemt me in je armen\nEn je draagt me in ons huis\n\nHey hey... nanana... nana nana...\nHey hey... nanana... nana nana...\nHey hey... nanana... nana nana...\nHey hey... nanana... nanana na...	https://youtube.com/watch?v=kHKjdkduPNI	True	?	"Based on the lyrics of the song ""Hey Nana"" by Micha Marah from Belgium, the line ""Zo zie je maar"" had the biggest influence on my prediction that this song would be a loser. This line roughly translates to ""See, that's how it goes"" or ""That's how it is"". This line, along with the overall theme of the song which is about a woman hoping to settle down with a man and live a simple life, suggests that the song lacks originality and has a somewhat generic theme. Additionally, the simplistic lyrics and repetitive nature of the song may not be enough to captivate the audience and stand out among the other entries in the Eurovision song context."	"Based on the title and lyrics of ""Hey Nana"" by Micha Marah from Belgium, as well as the country of origin and singer, my prediction is that this song will be a winner. The lyrics suggest a romantic theme of two people coming together and building a life of happiness and love, which is a common theme in Eurovision winning songs. The line ""Wij worden samen nu een paar"" (We are now becoming a couple) emphasizes the strong romantic connection between the two people and evokes a sense of togetherness that resonates with audiences. Additionally, the upbeat and catchy melody of the song, as well as the use of repetitive lyrics such as ""Hey hey... nanana... nana nana..."" make it likely to be well-received by the Eurovision audience, which tends to favor songs that are fun, catchy and easy to sing along to."
381	1979	at	Austria	Christina Simon	Heute In Jerusalem	18.0		18.0		18.0	5.0							Peter Wolf	André Heller	Erhebt euch, tut ab den Schlaf\nIn dieser Zeit der bitteren Früchte\nÜbt Freunde eure Wachsamkeit\nDem Weinen und der Angst zu wehren\n\nSeht, aus der Kühle hoher Luft\nDa fallen hundert Monde\nAls Zeichen für den Neubeginn\nAls Sinn wider den Widersinn\n\nUnd heute in Jerusalem\nEndlich in Jerusalem\nAtem holen und besinnen\nUnd heute in Jerusalem\nFriede für Jerusalem\n\nSeht, aus der Kühle hoher Luft\nDa fallen hundert Monde\nAls Zeichen für den Neubeginn\nAls Sinn wider den Widersinn\n\nUnd heute in Jerusalem\nEndlich in Jerusalem\nAtem holen und besinnen\nUnd heute in Jerusalem\nFriede für Jerusalem	https://youtube.com/watch?v=X3w26dtqpZY	True	-	"Based on the lyrics of ""Heute In Jerusalem"" by Christina Simon, and specifically the line ""Übt Freunde eure Wachsamkeit"" (which can be translated to ""Practice, friends, your vigilance""), my prediction is that this song will be a loser in the Eurovision Song Contest. The line in question suggests a serious and somber tone, and the overall message of the song seems to be about peace and reflection, rather than being catchy or upbeat. While there have been successful ballads and serious songs in Eurovision in the past, the overall trend in recent years has been towards more upbeat and energetic entries, and it is likely that a song with a slower tempo and serious message would not perform as well in the contest."	"Based on the title ""Heute In Jerusalem"" and the lyrics that mention Jerusalem, as well as the uplifting and motivational tone of the song, the AI predicts that ""Heute In Jerusalem"" by Christina Simon from Austria will be a winner. The line ""Erhebt euch, tut ab den Schlaf"" (meaning ""Rise up, cast off your sleep"") suggests a call to action and a message of hope and renewal, which could resonate with the audience and the judges. The overall theme of the song seems to be about overcoming adversity and finding peace, which are universal and powerful messages that could make a strong impact in the Eurovision Song Contest."
382	1980	ie	Ireland	Johnny Logan	What's Another Year	1.0		17.0		1.0	143.0							Shay Healy		I've been waitin' such a long time\nLookin' out for you, but you're not here\nWhat's another year?\n\nI've been wakin' such a long time\nReachin' out for you, but you aren't near\nWhat's another year?\n\nWhat's another year\nFor someone who's lost everything that he owns?\nWhat's another year\nFor someone who's gettin' used to bein' alone?\n\nI've been prayin' such a long time\nIt's the only way to hide the fear\nWhat's another year?\n\nWhat's another year\nFor someone who's lost everything that he owns?\nWhat's another year\nFor someone who's gettin' used to bein' alone?\n\nI've been cryin' such a long time\nWith such a lot of pain in every tear\nWhat's another year\n(For someone who is getting used to being alone?)\nWhat's another year\n(For someone who is getting used to being alone?)\nWhat's another year\n(For someone who is getting used to being alone?)	https://youtube.com/watch?v=BPOwTXWe-Yw	False	https://open.spotify.com/embed/track/3xGXaTsKtS55UZiWgcXlu8?utm_source=generator	"The line ""With such a lot of pain in every tear"" in the lyrics of ""What's Another Year"" suggests that the song is about heartbreak and loss, which are common themes in successful Eurovision songs. Additionally, the repetition of the phrase ""What's another year"" throughout the song emphasizes the feeling of longing and the desire to move on from the pain. This emotional depth, combined with the catchy melody and Johnny Logan's powerful vocals, make the song a strong contender for a winning Eurovision performance."	"Based on the lyrics of the song ""What's Another Year"" by Johnny Logan from Ireland, my prediction is that it will be a loser. The line ""For someone who's gettin' used to bein' alone?"" suggests a theme of loneliness and heartbreak, which may not resonate well with the Eurovision audience who tend to prefer upbeat and energetic songs. Additionally, the melancholic tone and slow tempo of the song may not captivate the audience's attention and fail to stand out amongst the other entries."
400	1980	fi	Finland	Vesa-Matti Loiri	Huilumies	19.0		10.0		19.0	6.0							Aarno Raninen	Veikko 'Vexi' Salmi	On tässä huilu ja huilumies\nEn täytä mittaa normien\nSormien soutelun huoleni huilutan\nJos en lausein tunteita tulkita voi\nNiille varmasti huilu soi\nJa niistä sielun soinnut pienoisen lauluni loi\n\nOn siinä aamun kastehelmien tuoksu\nOn kevät lämmin vuoripuron juoksu\nKaiken sen minkä aistin huiluni soi\nOn siinä hiiltyvä ilta, auringon rusko\nParempien päivien sammumaton usko\nOn syksyn kuolevaa ruskaa, on elämä tuskaa\nSen huiluni soi\n\nOn tässä huilu ja huilumies\nMä näen luonnon tauluna lauluna teille sen kaiken mä soinnutan\nJa näin riemut, surut ja arkikin soi\nJos en tuntea oikein voi\nOn joka pettymys, nauru sykkivät sointuni loi\n\nOn siinä päiväperhon leikkivä liito\nSammuvan tähden öinen viime kiito\nKaiken sen minkä aistin huiluni soi\nOn siinä tuiskuvan talven hyytävä halla\nIhmisen pienuus kaikkeuden alla\nOn syksyn kuolevaa ruskaa, on elämä tuskaa\nSen huiluni soi\n\nOn siinä päiväperhon leikkivä liito\nSammuvan tähden öinen viime kiito\nKaiken sen minkä aistin huiluni soi\nOn siinä tuiskuvan talven hyytävä halla\nIhmisen pienuus kaikkeuden alla\nOn syksyn kuolevaa ruskaa, on elämä tuskaa\nSen huiluni soi	https://youtube.com/watch?v=MaBhx84GA8g	True	https://open.spotify.com/embed/track/4eyxjL6wFEfF0xudWnFr32?utm_source=generator	"Based on the lyrics of the song ""Huilumies"" by Vesa-Matti Loiri, my prediction is that it will be a loser at the Eurovision song contest. The line ""Ja näin riemut, surut ja arkikin soi"" suggests that the song is about everyday life and its ups and downs. While this can be a relatable and emotional theme, it may not be unique or memorable enough to stand out among the other entries in the contest. Additionally, the song is in Finnish, which could limit its appeal to international audiences who may not be able to understand the lyrics. These factors could ultimately lead to the song being perceived as unremarkable and not worthy of a winning position in the competition."	"Based on the line ""Kaiken sen minkä aistin huiluni soi"", which roughly translates to ""All that I sense, my flute plays,"" the AI predicts that ""Huilumies"" by Vesa-Matti Loiri from Finland will be a winner. This line highlights the power of music to evoke emotions and create a sense of connection between the performer and the audience. The lyrics of the song are poetic and describe the beauty of nature and the struggles of life, which are likely to resonate with the Eurovision audience. The use of the flute as the main instrument also adds a unique and memorable element to the song, which could make it stand out among other entries. Overall, the combination of poetic lyrics, emotional resonance, and unique musical elements make this song a strong contender for a Eurovision win."
401	1981	gb	United Kingdom	Bucks Fizz	Making Your Mind Up	1.0		14.0		1.0	136.0							John Danter	Andy Hill	You gotta speed it up\nAnd then you gotta slow it down\n'Cause if you believe that our love can hit the top\nYou gotta play around\nBut soon you will find that there comes a time\nFor making your mind up\n\nYou gotta turn it on\nAnd then you gotta put it out\nYou gotta be sure that it's something\nEverybody's gonna talk about\nBefore you decide that the time's arrived\nFor making your mind up\n\nDon't let your indecision\nTake you from behind\nTrust your inner vision\nDon't let others change your mind\n\nAnd now you really gotta burn it up\nAnd make another fly by night\nGet a run for your money\nAnd take a chance and it'll turn out right\nBut when you can see how it's gotta be\nYou're making your mind up\n\nAnd try to look as if you don't care less\nBut if you wanna see some more\nBending the rules of the game\nWill let you find the one you're looking for\nAnd then you can show that you think you know\nYou're making your mind up\n\nDon't let your indecision\nTake you from behind\nTrust your inner vision\nDon't let others change your mind\n\nAnd now you really gotta speed it up\nAnd then you gotta slow it down\n'Cause if you believe that our love can hit the top\nYou gotta play around\nBut soon you will find that there comes a time\nFor making your mind up\n\nAnd now you really gotta speed it up\nAnd then you gotta slow it down\n'Cause if you believe that our love can hit the top\nYou gotta play around\nBut soon you will find that there comes a time\nFor making your mind up\nFor making your mind up\nFor making your mind up\nFor making your mind up	https://youtube.com/watch?v=62SrA5hCmkE	False	https://open.spotify.com/embed/track/0Azn2vpP3Sbs8qAG8e1KUc?utm_source=generator	"Based on the line ""And now you really gotta speed it up"" in the lyrics, I predict that the song ""Making Your Mind Up"" by Bucks Fizz from the United Kingdom will be a winner at the Eurovision song contest. The upbeat tempo and the catchy chorus of the song, along with the message of taking risks and making decisions, are likely to appeal to the audience and the judges. The lyrics suggest that the song has a high energy level and encourages the listener to get up and dance. Additionally, the repetition of the line ""For making your mind up"" throughout the song reinforces the message of making a decision and taking action, which could resonate with the Eurovision audience. Overall, the combination of the upbeat tempo and positive message make ""Making Your Mind Up"" a strong contender for a winning song."	"Based on the lyrics of ""Making Your Mind Up"" by Bucks Fizz, my prediction is that the song will be a loser at the Eurovision Song Contest. The line ""You gotta be sure that it's something everybody's gonna talk about"" suggests a lack of originality in the song, which could be a factor that leads to its failure. Additionally, the song's repetitive and predictable structure may also contribute to its lack of appeal to the contest's judges and audience."
